| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
| STT_GR_0019_0117_502195_to_503251 | 24 | 1.06 | 0.333 | 0.417 | 0.250 | 0.208 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0019_0308_1563704_to_1565303 | 33 | 1.60 | 0.194 | 0.290 | 0.355 | 0.290 |
| STT_GR_0019_0220_1159844_to_1163588 | 31 | 3.74 | 0.484 | 0.806 | 0.710 | 0.677 |
| STT_GR_0019_0255_1333351_to_1334631 | 33 | 1.28 | 0.323 | 0.226 | 0.000 | 0.032 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0019_0052_339432_to_341063 | 41 | 1.63 | 0.256 | 0.282 | 0.103 | 0.103 |
| STT_GR_0019_0073_382840_to_384440 | 41 | 1.60 | 0.282 | 0.282 | 0.077 | 0.077 |
| STT_GR_0019_0290_1440500_to_1443100 | 43 | 2.60 | 0.419 | 0.256 | 0.140 | 0.140 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0019_0027_192368_to_194384 | 44 | 2.02 | 0.048 | 0.167 | 0.095 | 0.095 |
| STT_GR_0019_0155_682964_to_685460 | 48 | 2.50 | 0.239 | 0.348 | 0.435 | 0.391 |
| STT_GR_0019_0222_1165924_to_1168004 | 49 | 2.08 | 0.170 | 0.255 | 0.213 | 0.213 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0019_0274_1409028_to_1411236 | 53 | 2.21 | 0.216 | 0.510 | 0.569 | 0.490 |
| STT_GR_0019_0171_721600_to_724200 | 52 | 2.60 | 0.260 | 0.380 | 0.360 | 0.400 |
| STT_GR_0019_0070_374135_to_376376 | 55 | 2.24 | 0.291 | 0.164 | 0.073 | 0.127 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0019_0267_1389028_to_1392804 | 70 | 3.78 | 0.103 | 0.309 | 0.309 | 0.294 |
| STT_GR_0019_0017_164200_to_169100 | 66 | 4.90 | 0.109 | 0.109 | 0.031 | 0.031 |
| STT_GR_0019_0072_378712_to_381336 | 65 | 2.62 | 0.095 | 0.143 | 0.095 | 0.143 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0021_0047_325288_to_326183 | 20 | 0.90 | 0.158 | 0.316 | 0.105 | 0.053 |
| STT_GR_0021_0167_1124944_to_1125584 | 18 | 0.64 | 0.059 | 0.176 | 0.059 | 0.059 |
| STT_GR_0021_0024_212400_to_214300 | 20 | 1.90 | 0.444 | 0.111 | 0.000 | 0.000 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0021_0095_756387_to_757476 | 30 | 1.09 | 0.286 | 0.321 | 0.143 | 0.143 |
| STT_GR_0021_0023_209700_to_211600 | 26 | 1.90 | 0.208 | 0.000 | 0.083 | 0.125 |
| STT_GR_0021_0019_180800_to_183800 | 29 | 3.00 | 0.185 | 0.111 | 0.111 | 0.111 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0022_0002_16200_to_24800 | 106 | 8.60 | 0.250 | 0.144 | 0.067 | 0.067 |
| STT_GR_0022_0008_61900_to_68600 | 105 | 6.70 | 0.194 | 0.126 | 0.165 | 0.165 |
| STT_GR_0022_0042_370800_to_378100 | 106 | 7.30 | 0.438 | 0.333 | 0.257 | 0.248 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0022_0031_262400_to_272100 | 193 | 9.70 | 0.214 | 0.214 | 0.208 | 0.203 |
| STT_GR_0022_0113_1059300_to_1071600 | 198 | 12.30 | 0.242 | 0.217 | 0.182 | 0.182 |
| STT_GR_0022_0197_1544100_to_1555200 | 198 | 11.10 | 0.281 | 0.270 | 0.189 | 0.189 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0022_0306_2057036_to_2058380 | 40 | 1.34 | 0.500 | 0.579 | 0.342 | 0.342 |
| STT_GR_0022_0265_1881516_to_1882924 | 37 | 1.41 | 0.143 | 0.400 | 0.171 | 0.171 |
